day,mont,year,credited,debited,type,week_day,perc_remain
11,4,2021,50498.49917,-57826.17969,N,7,2.145106897
12,4,2021,13093351.18,10372759.29,N,1,0.20778423
13,4,2021,2627686.914,1418814.719,N,2,0.460051838
14,4,2021,363318.5595,-84365.80626,N,3,1.232208909
15,4,2021,14913809.42,12098912.89,P,4,0.188744301
16,4,2021,12208553.95,9869386.514,N,5,0.191600696
17,4,2021,3136649.007,1959046.847,N,6,0.375433196
18,4,2021,41455.08974,-62869.28255,N,7,2.516563659
19,4,2021,10825525.11,8891436.562,N,1,0.178660021
20,4,2021,9691171.443,7704431.41,N,2,0.205005148
21,4,2021,1462170.053,475630.4131,N,3,0.674709236
22,4,2021,11173171.45,8820211.979,N,4,0.210590116
23,4,2021,9477008.107,7492860.429,N,5,0.209364354
24,4,2021,151473.615,-66460.93469,N,6,1.438762452
25,4,2021,47216.77564,-32701.46845,N,7,1.692581567
26,4,2021,10070279.86,7706906.24,N,1,0.234687978
27,4,2021,8901849.75,7123636.924,N,2,0.199757677
28,4,2021,9588519.917,7783804.664,N,3,0.188216249
29,4,2021,10070758.72,7642473.345,N,4,0.241122386
30,4,2021,13571576.75,10137751.35,P,5,0.253015951
1,5,2021,969066.3893,-21170.6342,N,6,1.021846423
2,5,2021,52844.9526,-58766.40136,N,7,2.112053251
3,5,2021,9917365.202,7855099.807,N,1,0.207944888
4,5,2021,9003516.357,7212402.874,N,2,0.198934884
5,5,2021,9275179.807,7295518.455,N,3,0.213436439
6,5,2021,10136608.31,8018140.205,N,4,0.208991809
7,5,2021,8961328.224,6739008.421,N,5,0.247990002
8,5,2021,158358.382,-81524.28757,N,6,1.514808793
9,5,2021,51024.9621,-48986.86726,N,7,1.960056907
10,5,2021,11066005.51,8742206.683,N,1,0.209994367
11,5,2021,9453961.576,7718912.59,N,2,0.183526131
12,5,2021,10290880.24,8291855.407,N,3,0.194252074
13,5,2021,2524964.205,1199059.866,N,4,0.525118073
14,5,2021,8113675.938,7134722.488,N,5,0.120654739
15,5,2021,3110881.129,2092345.019,P,6,0.32741081
16,5,2021,52827.60157,-36215.95431,N,7,1.685549849
17,5,2021,8816198.233,7177450.195,N,1,0.185879218
18,5,2021,7934302.364,6239253.419,N,2,0.213635537
19,5,2021,8669186.845,7124858.59,N,3,0.17813992
20,5,2021,9357340.698,7654184.255,N,4,0.182012871
21,5,2021,8747619.433,7079143.986,N,5,0.190734801
22,5,2021,164736.5762,-35671.59324,N,6,1.216537177
23,5,2021,50075.17164,-17093.98502,N,7,1.341366479
24,5,2021,10097380.09,7826641.16,N,1,0.224883971
25,5,2021,10786330.23,8890507.369,N,2,0.175761619
26,5,2021,1709125.02,794257.3826,N,3,0.535284211
27,5,2021,11308068.56,9130847.564,N,4,0.192536947
28,5,2021,13325125.93,11262865.05,N,5,0.154764832
29,5,2021,2733919.917,1563947.01,N,6,0.427947029
30,5,2021,59712.15086,-41903.83562,N,7,1.701763963
31,5,2021,12307138.21,9182401.919,P,1,0.253896254
1,6,2021,10699114.89,8344485.848,N,2,0.220076993
2,6,2021,8242350.55,6452726.764,N,3,0.217125415
3,6,2021,8303608.005,6395877.95,N,4,0.229747124
4,6,2021,10694571.22,8688974.362,N,5,0.187534107
5,6,2021,3412000.317,2182136.826,N,6,0.360452338
6,6,2021,57526.66633,-53345.57102,N,7,1.927319006
7,6,2021,9366364.652,6964762.755,N,1,0.256407047
8,6,2021,8261500.61,6417121.993,N,2,0.223249831
9,6,2021,8679562.367,6999992.083,N,3,0.193508637
10,6,2021,8934549.329,7143644.233,N,4,0.200447166
11,6,2021,9148191.212,7193768.171,N,5,0.213640379
12,6,2021,162905.1331,-75853.29867,N,6,1.465628659
13,6,2021,55335.81562,-38953.79698,N,7,1.703952703
14,6,2021,11098225.13,8839265.964,N,1,0.203542381
15,6,2021,10131357.35,8125646.271,P,2,0.197970618
16,6,2021,10266922.03,8536011.724,N,3,0.168590966
17,6,2021,10878986,8987266.581,N,4,0.173887477
18,6,2021,10635219.72,8624743.76,N,5,0.189039438
19,6,2021,3014583.286,1950699.79,N,6,0.352912292
20,6,2021,56925.31417,-47461.58679,N,7,1.833751864
21,6,2021,11067958.58,9017581.019,N,1,0.185253455
22,6,2021,11665500.28,9767863.933,N,2,0.162670807
23,6,2021,11196633.89,9265403.283,N,3,0.172483143
24,6,2021,11017997.87,9252110.124,N,4,0.160273016
25,6,2021,11133529.38,8643528.255,N,5,0.223648857
26,6,2021,187057.3524,-67931.58462,N,6,1.363159126
27,6,2021,52125.2345,-42388.63445,N,7,1.813207554
28,6,2021,13361519.57,10904130.05,N,1,0.183915423
29,6,2021,12410535.27,9877755.783,N,2,0.204083018
30,6,2021,18592805.89,14588968.01,P,3,0.215343392
1,7,2021,13924099.59,11242083.99,N,4,0.192616807
2,7,2021,10336437.39,8302266.843,N,5,0.196796098
3,7,2021,2979408.483,1770197.731,N,6,0.405855981
4,7,2021,77688.97624,-71724.27693,N,7,1.92322335
5,7,2021,9177287.957,7129675.948,N,1,0.223117333
6,7,2021,9745000.39,7434785.145,N,2,0.237066716
7,7,2021,9154366.51,7137922.107,N,3,0.220271321
8,7,2021,8018032.257,5947790.407,N,4,0.258198244
9,7,2021,13588155.55,11501702.37,N,5,0.153549404
10,7,2021,198547.8051,-74489.66645,N,6,1.37517245
11,7,2021,55215.0315,-55753.16421,N,7,2.009746127
12,7,2021,11092415.72,8855431.438,N,1,0.201667909
13,7,2021,9144114.074,7260099.836,N,2,0.206035732
14,7,2021,8989958.345,7064365.714,N,3,0.214193721
15,7,2021,13148694.12,10773743.15,P,4,0.180622574
16,7,2021,15805450.66,13847162.85,N,5,0.123899523
17,7,2021,3287786.231,2225488.057,N,6,0.323104393
18,7,2021,55149.25457,-56009.8614,N,7,2.015605049
19,7,2021,11355240.58,9332174.636,N,1,0.178161434
20,7,2021,10867361.21,8726591.99,N,2,0.196990711
21,7,2021,641955.3643,100095.5853,N,3,0.844077033
22,7,2021,12652681.43,10397959,N,4,0.178201154
23,7,2021,14308299.93,12083401.25,N,5,0.155497067
24,7,2021,200225.7621,-41499.88762,N,6,1.207265475
25,7,2021,52891.0589,-48022.70381,N,7,1.907955046
26,7,2021,12050586.66,9705553.664,N,1,0.194599073
27,7,2021,12127684.28,10052833.75,N,2,0.171083818
28,7,2021,9643805.943,7580334.46,N,3,0.213968582
29,7,2021,11592337.09,9203278.155,N,4,0.206089498
30,7,2021,16400363.9,12789656.28,N,5,0.220160214
31,7,2021,5074332.457,3145079.643,P,6,0.380198347
1,8,2021,73844.6914,-106003.543,N,7,2.435493073
2,8,2021,12409626.41,9873128.721,N,1,0.204397587
3,8,2021,9378545.85,7338426.836,N,2,0.21753042
4,8,2021,9004413.045,7008609.157,N,3,0.221647305
5,8,2021,10476191.25,8262175.452,N,4,0.211337856
6,8,2021,15103461.7,12602766.89,N,5,0.165570971
7,8,2021,3082784.345,1674477.998,N,6,0.456829343
8,8,2021,110125.5725,-20437.5161,N,7,1.185583744
9,8,2021,11112132.28,9054660.555,N,1,0.185155439
10,8,2021,9666241.548,7678848.56,N,2,0.20560142
11,8,2021,9839335.648,7895311.188,N,3,0.197576801
12,8,2021,11348267.05,9408842.464,N,4,0.170900506
13,8,2021,15713235.99,13425031.8,N,5,0.145622721
14,8,2021,210730.417,-91874.88614,N,6,1.435983032
15,8,2021,52433.94067,-50181.00319,P,7,1.957032841
16,8,2021,3937059.657,2114583.712,N,1,0.462902802
17,8,2021,13654214.5,11125715.42,N,2,0.185180852
18,8,2021,11733263.32,9183142.098,N,3,0.217341174
19,8,2021,3097359.731,1543368.65,N,4,0.501714756
20,8,2021,10869972.98,9175094.674,N,5,0.155922955
21,8,2021,3623338.898,2432929.55,N,6,0.328539334
22,8,2021,61653.89383,-38314.30586,N,7,1.621441786
23,8,2021,10806453.87,8916572.245,N,1,0.174884532
24,8,2021,9885153.414,7910964.557,N,2,0.199712516
25,8,2021,9448552.262,7388336.598,N,3,0.218045644
26,8,2021,11213933.73,8714160.712,N,4,0.222916693
27,8,2021,11418403.6,8834524.74,N,5,0.226290728
28,8,2021,238418.8821,-99489.34836,N,6,1.417288041
29,8,2021,74768.60602,-29123.19419,N,7,1.389510996
